,Generations,Evaluations,BestEver,Best,Median,Worst
0,1,200,-336.8676820337607,-336.8676820337607,-758.2734824755837,-6825.172213928006
1,2,400,-223.1027185190611,-223.1027185190611,-749.4912572490098,-7575.953600623751
2,3,600,-223.1027185190611,-330.470166606028,-743.1633448720794,-9918.418146791737
3,4,800,-223.1027185190611,-247.9055800058246,-746.909884656704,-6062.374130292158
4,5,1000,-223.1027185190611,-277.2084028573685,-755.9132889457212,-17003.952867131582
5,6,1200,-223.1027185190611,-332.07935925147035,-729.8053622264953,-11082.116836086581
6,7,1400,-223.1027185190611,-288.1893580823918,-747.7942820546755,-19613.691636951124
7,8,1600,-223.1027185190611,-264.4589502413055,-747.8138287842703,-7777.537687544147
8,9,1800,-218.31794818460725,-218.31794818460725,-735.521102562451,-13701.181883324818
9,10,2000,-218.31794818460725,-284.65944016127287,-675.3776426338691,-7530.382986740342
10,11,2200,-211.41463460127443,-211.41463460127443,-664.150474675861,-6793.075526564598
11,12,2400,-179.41833071610293,-179.41833071610293,-691.9577273931137,-6666.74373606908
12,13,2600,-179.41833071610293,-324.13765714500744,-673.5048971500495,-10038.606269229096
13,14,2800,-150.26414107180926,-150.26414107180926,-630.1468078602801,-5514.170833995061
14,15,3000,-150.26414107180926,-301.49980942710295,-674.3917202150317,-6158.253396852016
15,16,3200,-150.26414107180926,-179.52854910744105,-658.8513059963769,-21138.2741014676
16,17,3400,-150.26414107180926,-225.95712552085308,-668.659218028199,-8942.37163354266
17,18,3600,-150.26414107180926,-252.7233903530469,-671.8744917072476,-5439.027777534485
18,19,3800,-150.26414107180926,-293.29239725395416,-630.5939584256934,-14498.581384648309
19,20,4000,-150.26414107180926,-259.25862190082074,-628.346948186096,-6812.656154080929
20,21,4200,-150.26414107180926,-207.09436755084465,-642.3980311812459,-3708.7662043564355
21,22,4400,-150.26414107180926,-174.09051612813016,-661.7110978202599,-5670.827112354148
22,23,4600,-150.26414107180926,-263.4882030041445,-614.5353703769898,-5404.951355192674
23,24,4800,-150.26414107180926,-232.65982590995176,-625.7341235733077,-5932.601247240654
24,25,5000,-150.26414107180926,-214.3596995487282,-655.757621848752,-3838.22992988177
25,26,5200,-150.26414107180926,-276.4054937288571,-646.0885325968173,-4733.929324310362
26,27,5400,-150.26414107180926,-231.4503687449285,-667.4544271272232,-12981.469135720165
27,28,5600,-150.26414107180926,-236.8302621507715,-596.5995999327888,-4822.248978559858
28,29,5800,-150.26414107180926,-241.39979794456585,-673.4372409384957,-4866.866701031333
29,30,6000,-150.26414107180926,-232.95519338583244,-647.0153171252678,-2318.8361310562436
30,31,6200,-44.45231198662217,-44.45231198662217,-642.2012060450833,-6408.558687567564
31,32,6400,-44.45231198662217,-198.7443061646444,-675.6688100627076,-4029.2656181104244
32,33,6600,-44.45231198662217,-250.34022877721074,-642.4069441558801,-7199.0852847457045
33,34,6800,-44.45231198662217,-179.7709346488632,-643.1209045041454,-6401.717800591396
34,35,7000,-44.45231198662217,-51.45985649901486,-613.1245496241175,-6271.89455287774
35,36,7200,-44.45231198662217,-207.0072976867708,-614.6900992365471,-2709.976364551993
36,37,7400,-44.45231198662217,-215.74607074747667,-603.1126425832937,-7823.9243533986155
37,38,7600,-44.45231198662217,-248.571461730794,-584.910032298096,-3983.155694494254
38,39,7800,-44.45231198662217,-162.17845139948977,-591.0161837406158,-4999.090308382111
39,40,8000,-44.45231198662217,-181.53836467637888,-534.1209484002634,-3204.4904484307667
40,41,8200,-44.45231198662217,-84.06575279274297,-542.1383888042816,-9776.116917856061
41,42,8400,-44.45231198662217,-196.58235186037606,-557.5829171901114,-3880.3584201507033
42,43,8600,-44.45231198662217,-130.4476832961729,-555.9790184781646,-4103.691026146997
43,44,8800,-44.45231198662217,-197.4746457915238,-513.6863307933163,-6172.451337648344
44,45,9000,-0.35927443584628804,-0.35927443584628804,-531.8282118596146,-2807.1397706931803
45,46,9200,-0.35927443584628804,-112.55365492530416,-500.5781362882564,-3570.726704094932
46,47,9400,-0.35927443584628804,-119.42107473652483,-501.1045264026651,-4492.895928293425
47,48,9600,33.89256880850243,33.89256880850243,-539.0614115571865,-3137.3366724242246
48,49,9800,33.89256880850243,-111.18792271826986,-479.3267427343771,-3199.172089191788
49,50,10000,33.89256880850243,-85.39526153758591,-553.4460393675151,-5051.798417784545
50,51,10200,33.89256880850243,-116.73849643539229,-465.87979078567145,-2397.747965783618
51,52,10400,33.89256880850243,-113.74988664460838,-459.2714679853236,-3134.8574244917454
52,53,10600,33.89256880850243,-30.61885956322108,-463.2136629577547,-3334.4127438825603
53,54,10800,33.89256880850243,-143.11697207597174,-486.0759226231802,-3069.200254410665
54,55,11000,33.89256880850243,8.882876439654183,-482.64303821499755,-3474.5154819562845
55,56,11200,33.89256880850243,4.438387071459871,-458.9730584385949,-4030.350833165963
56,57,11400,33.89256880850243,-37.65525023681654,-449.72616027022053,-3868.6269519228385
57,58,11600,33.89256880850243,33.38955437433853,-401.980130086065,-3498.0399881622857
58,59,11800,33.89256880850243,-95.36255414395232,-454.1896481522122,-3649.3158438178825
59,60,12000,33.89256880850243,1.7031219843351266,-459.7097416965779,-2488.0074272862016
60,61,12200,33.89256880850243,-84.57807456372267,-453.2551868646475,-2348.426755546808
61,62,12400,33.89256880850243,-3.435586456487499,-439.3192661134673,-3461.420223535532
62,63,12600,33.89256880850243,29.17481078753613,-423.9466880430386,-4335.960869836478
63,64,12800,33.89256880850243,0.9418204501557881,-381.6137624041415,-3317.512329696667
64,65,13000,33.89256880850243,-3.0135170529612907,-463.2439160170814,-2710.3456778262394
65,66,13200,34.467468087350085,34.467468087350085,-427.69530949112755,-2736.4496929487113
66,67,13400,34.467468087350085,-63.922357808765234,-418.2745321452849,-3861.9844400262423
67,68,13600,56.30217169989572,56.30217169989572,-508.88989527405886,-3079.280569812441
68,69,13800,56.30217169989572,53.540000716606585,-473.8255599265752,-2434.697309801223
69,70,14000,56.30217169989572,19.439909901920103,-450.5109326907426,-2394.0880773116564
70,71,14200,60.17699991482195,60.17699991482195,-432.4719713870113,-2650.789670043834
71,72,14400,60.17699991482195,30.632005191306376,-415.743546232714,-2615.9667120494746
72,73,14600,60.17699991482195,14.148000611961223,-426.72558475513796,-2745.3352934289724
73,74,14800,60.17699991482195,16.8638302027355,-393.8460960830035,-3355.1280719762617
74,75,15000,60.17699991482195,-11.913473350857885,-459.4707229328527,-3460.8762619437566
75,76,15200,60.17699991482195,53.30871987827018,-490.89223856791125,-3033.252345409118
76,77,15400,64.57478165600344,64.57478165600344,-437.3285492153073,-4337.994848984378
77,78,15600,64.57478165600344,6.743214039621847,-403.85213639459454,-3594.0097769532563
78,79,15800,64.57478165600344,15.280150888903194,-427.0237368949008,-3595.0940908417397
79,80,16000,64.57478165600344,40.529133695907234,-427.5265452638486,-4839.84700532695
80,81,16200,64.57478165600344,24.521617000926284,-375.8034079218173,-3473.101740963996
81,82,16400,64.57478165600344,56.94647688827678,-421.77850115179723,-2467.5415149451346
82,83,16600,64.57478165600344,26.385203675611194,-426.88302087515143,-4109.546067195071
83,84,16800,64.57478165600344,56.05653978522494,-414.6448460625033,-2994.2146847350878
84,85,17000,64.57478165600344,-47.454393930836055,-390.2754780617747,-4121.408163559097
85,86,17200,64.57478165600344,-15.083406971833668,-394.97851826213554,-3113.98446114753
86,87,17400,64.57478165600344,26.953837098518306,-385.1022864778933,-3105.170422108549
87,88,17600,64.57478165600344,39.34880054053738,-374.9994771782349,-2743.525576046528
88,89,17800,64.57478165600344,10.623375676450365,-387.6985340969119,-3818.4423762244
89,90,18000,64.57478165600344,35.10541279285948,-423.15993593996996,-2728.1284212997875
90,91,18200,64.57478165600344,44.359170662913584,-364.5781798295951,-2938.285770280608
91,92,18400,64.57478165600344,42.49832223376035,-400.9337648302389,-2531.0702112091276
92,93,18600,64.57478165600344,63.6100483773439,-375.5836964144306,-3500.2553141826506
93,94,18800,64.57478165600344,42.42933646977281,-376.55671529288054,-3013.2489550751366
94,95,19000,64.57478165600344,36.447579146273114,-395.1411467027236,-3009.310440418366
95,96,19200,64.57478165600344,33.820637107320835,-413.09408132234256,-3210.8244152481175
96,97,19400,64.57478165600344,49.454088000465504,-380.56313247998656,-3600.738610022919
97,98,19600,64.57478165600344,39.67910268014637,-365.2941197815398,-3570.4282838866484
98,99,19800,64.57478165600344,35.1856594506209,-442.97014104313075,-3532.309329619063
99,100,20000,64.57478165600344,49.39546722344238,-442.7658820598129,-6684.373825011259
100,101,20200,64.57478165600344,52.51130015431451,-382.56853466690444,-2798.656271784172
101,102,20400,64.57478165600344,16.857398514376072,-376.292031870206,-2333.1697558121673
102,103,20600,64.57478165600344,42.114479895432055,-371.9850953471427,-4736.51915564754
103,104,20800,64.57478165600344,59.129090454319396,-363.9568080801169,-4083.9847311720077
104,105,21000,64.57478165600344,49.688512417525715,-428.70036855111425,-2870.3643818625314
105,106,21200,64.57478165600344,46.31919238118434,-364.10344616757226,-3471.308254635675
106,107,21400,64.57478165600344,39.18064545118315,-368.38765535741754,-3428.3052772999245
107,108,21600,64.57478165600344,24.83402589401568,-395.97581544207543,-3234.114202810633
108,109,21800,64.57478165600344,22.118554410727157,-390.69625012008163,-3842.5795349470914
109,110,22000,64.57478165600344,46.82478239299198,-406.3541688568266,-3710.972129241038
110,111,22200,64.57478165600344,36.60441875113753,-370.17085023006615,-4239.7117640174765
111,112,22400,64.57478165600344,34.545998462761304,-387.63309942303454,-2609.6494002594577
112,113,22600,64.57478165600344,29.67319282167915,-377.73156588983267,-5010.247321558257
113,114,22800,64.57478165600344,43.52054322996966,-354.2445949466746,-2950.089872074793
114,115,23000,64.57478165600344,31.89113269234886,-390.89007902307736,-3119.221359361845
115,116,23200,64.57478165600344,47.523898110760655,-330.70411630137687,-2489.3843119612175
