,Generations,Evaluations,BestEver,Best,Median,Worst
47,48,14400,302.21901905050873,293.91501870565503,181.33082275844237,-381.8191913799204
48,49,14700,304.46815668245324,304.46815668245324,185.2317058453935,-457.5350777630035
49,50,15000,304.46815668245324,274.3037093089058,177.14420992028516,-322.396297205986
50,51,15300,304.46815668245324,282.1973127192483,170.15390943239595,-528.12041376055
51,52,15600,304.46815668245324,290.3154833698013,164.12547462158238,-377.5749870165041
52,53,15900,304.46815668245324,296.93861704193426,184.8251149098645,-818.5262211374861
53,54,16200,304.46815668245324,301.8487449605517,169.23116169675023,-359.24919579210587
54,55,16500,304.46815668245324,291.3716225566328,176.42133294491458,-326.15888978211945
55,56,16800,304.46815668245324,290.2134777130893,182.88889880225133,-358.55648657598164
56,57,17100,304.46815668245324,294.71421192411924,168.3227246298549,-1958.4370542885983
57,58,17400,304.46815668245324,303.9457504281361,166.99953216610967,-326.18987762383534
58,59,17700,304.46815668245324,299.123367288787,204.85082671502212,-427.7907764640206
59,60,18000,304.46815668245324,295.91653588892154,189.18516038196742,-341.9100597596265
60,61,18300,304.46815668245324,297.8954717410289,176.40412081371454,-347.40789170294386
61,62,18600,304.46815668245324,291.20915787323395,173.35540697615414,-2142.59518211944
62,63,18900,304.46815668245324,295.9232195736631,170.4689343501235,-502.5653785152202
63,64,19200,304.46815668245324,303.5210550687593,174.56887350382738,-450.4258748142975
64,65,19500,304.46815668245324,288.08009685181503,165.45851807609773,-365.07208662263156
65,66,19800,304.46815668245324,289.76799138759736,176.97944303349516,-320.7881298739437
66,67,20100,304.46815668245324,303.64875732690996,182.21805847868083,-292.07204318930036
67,68,20400,304.46815668245324,301.2921669266159,192.0499514128157,-323.78532590297397
68,69,20700,310.0923575519432,310.0923575519432,180.35565736938918,-343.39818254126124
69,70,21000,310.0923575519432,293.9375483591041,184.09340652416313,-338.2154942116997
70,71,21300,310.0923575519432,298.8449162417644,195.04292984453417,-2211.0416792280894
71,72,21600,310.0923575519432,300.4759342261676,177.91366728809686,-305.5077791061478
72,73,21900,310.0923575519432,294.9307433174667,170.1256804565335,-382.1027323044157
73,74,22200,310.0923575519432,295.6901582698947,172.90957043893854,-355.4205318986297
74,75,22500,310.0923575519432,294.74287221352256,179.6661312965691,-366.5323958217423
75,76,22800,310.0923575519432,305.13992537789414,190.2585421921188,-320.066038377153
76,77,23100,310.0923575519432,301.61126056707155,186.24142475219708,-364.5837807713473
77,78,23400,310.0923575519432,297.3292879223515,178.30783054473483,-321.7478417271822
78,79,23700,310.0923575519432,294.9260184424767,177.4721876161869,-256.9462060534021
79,80,24000,310.0923575519432,297.48806305304197,181.2234353039009,-256.1330457719663
80,81,24300,310.0923575519432,292.1668316053132,183.0336816820543,-326.2174045812304
81,82,24600,310.0923575519432,293.2169861998906,177.00380395121002,-250.10323362681916
82,83,24900,310.0923575519432,298.59246278407875,175.5457046703944,-268.6270533506479
83,84,25200,310.0923575519432,294.39466912647435,182.06015708444517,-524.3336467163435
84,85,25500,310.0923575519432,300.04428750961137,179.22486336977977,-348.01775012777705
85,86,25800,310.0923575519432,291.4890275485546,190.64103555193017,-287.8521976832899
86,87,26100,310.0923575519432,307.273904867153,198.41274967712633,-425.77939202163896
87,88,26400,310.0923575519432,295.38678747105723,197.05875267840833,-265.2507686793211
88,89,26700,310.0923575519432,304.6200579427988,213.79377543833164,-250.3184422998817
89,90,27000,310.0923575519432,303.1954625013263,176.83123918609692,-277.7292021284355
90,91,27300,310.0923575519432,302.8890530124777,191.55422168707332,-331.7306031100819
91,92,27600,310.0923575519432,303.6231368070585,205.91144028199932,-307.7259532447834
92,93,27900,310.0923575519432,295.6054062114269,201.91884497755132,-257.57467513769075
93,94,28200,312.2037329928511,312.2037329928511,200.87216078813617,-227.22152698837724
94,95,28500,312.2037329928511,309.32593368345465,169.40409332986417,-301.69974602133465
95,96,28800,312.2037329928511,298.9579364042927,205.8538602287233,-330.86519726925087
96,97,29100,312.2037329928511,305.1847967739558,188.8054540839505,-293.7622414134662
97,98,29400,312.2037329928511,299.4965344291186,199.93481769770813,-264.6255966721983
98,99,29700,312.2037329928511,305.8560087071331,193.49850070596716,-292.38716990438843
99,100,30000,312.2037329928511,305.849895081429,209.26884111022343,-335.471302271559
100,101,30300,312.2037329928511,305.9968972737009,205.3127164588348,-420.96989558632384
101,102,30600,312.2037329928511,301.6631547950137,188.88396604579867,-358.24771218404106
102,103,30900,312.2037329928511,305.4745315785416,193.37903550932614,-388.1327627770612
103,104,31200,312.2037329928511,299.4620768032852,197.95773371255726,-231.1224923789227
104,105,31500,312.2037329928511,306.9914708718402,166.98781648446985,-358.5681108294142
105,106,31800,312.2037329928511,303.4860085116626,187.04369965572437,-371.65106813594275
106,107,32100,312.5487697242629,312.5487697242629,194.39061118746156,-275.3614102524308
107,108,32400,312.5487697242629,309.6233131953868,197.04736695365312,-312.6594257640722
108,109,32700,312.5487697242629,298.71653707264835,168.46038582620858,-261.78458973105
109,110,33000,312.5487697242629,303.56689751802435,173.59764691002053,-271.4641363335404
110,111,33300,312.5487697242629,299.442264669848,180.79827284441814,-237.9921805823712
111,112,33600,312.5487697242629,304.97199485520144,210.79579548057393,-308.4628081898561
112,113,33900,312.5487697242629,305.5388410621504,216.78800832289153,-195.6622383300575
113,114,34200,312.5487697242629,301.64096403916767,211.5779253832814,-307.38817888583736
114,115,34500,312.5487697242629,307.4279246206776,224.59614694583635,-213.07245784710997
115,116,34800,312.5487697242629,308.3248691026374,217.9398947553308,-345.375946012222
116,117,35100,312.5487697242629,303.6236090638779,215.87050385527922,-227.19098167421942
117,118,35400,312.5487697242629,308.46577138373056,221.26097260138312,-110.68331764410941
118,119,35700,312.5487697242629,307.4961236329532,214.4406004113062,-221.4811916619946
119,120,36000,312.5487697242629,297.5497103908259,210.16918001439973,-255.7922110476723
120,121,36300,312.5487697242629,305.91160240225463,218.6379999292619,-173.62709919247607
121,122,36600,312.5487697242629,303.6634469181584,189.1797315813062,-272.2771898641957
122,123,36900,312.7941126147376,312.7941126147376,221.22701137282445,-393.3223696666875
123,124,37200,312.7941126147376,311.08491460069445,207.16487090527812,-233.92342432431897
124,125,37500,312.7941126147376,305.14674277773247,184.49862364424877,-231.02037636243088
125,126,37800,312.7941126147376,307.6467359665995,210.36943682352077,-275.01939522379143
126,127,38100,312.7941126147376,305.68742781922276,213.92157220744468,-250.92219626185062
127,128,38400,312.7941126147376,305.0246025338507,222.36970852497384,-240.3661356610966
128,129,38700,312.7941126147376,300.9091534258815,204.50964352292442,-258.0164321640898
129,130,39000,312.7941126147376,304.5558022173756,214.07668852224182,-275.9753576909983
130,131,39300,312.7941126147376,302.6860653029288,219.73681432793242,-113.01308774669846
131,132,39600,312.7941126147376,301.5341038845123,208.55146059951917,-234.0065651166726
132,133,39900,312.7941126147376,302.2773534912069,213.40560215029575,-272.4896916172133
133,134,40200,312.7941126147376,310.8375940737925,211.11898786866755,-243.4581482328843
134,135,40500,312.7941126147376,299.7281738208844,221.5312827703151,-141.20145626138805
135,136,40800,312.7941126147376,305.81290499649765,225.9943724303539,-279.74258750709265
136,137,41100,312.7941126147376,300.9270574082783,225.0716818403539,-236.27158373436382
137,138,41400,312.7941126147376,305.37340477892457,189.82370614588143,-188.3102039896857
138,139,41700,312.7941126147376,306.9792322290353,215.31928618555463,-243.43418088913492
139,140,42000,312.7941126147376,308.6639093775297,223.65523553803024,-199.3228137437348
140,141,42300,312.7941126147376,301.7305474095875,218.37236119519955,-223.08258684799654
141,142,42600,312.7941126147376,303.07667130153925,203.242737927708,-356.6313692031743
142,143,42900,312.7941126147376,305.8380115414036,222.66316996127074,-265.20741497446147
143,144,43200,312.7941126147376,308.8975436209532,214.76491945678706,-174.12099515193808
144,145,43500,312.7941126147376,312.4360081667019,210.46514747736524,-166.60500695054236
145,146,43800,312.7941126147376,311.91650179066875,227.05656185403237,-238.91877725339626
146,147,44100,312.7941126147376,305.3869641660641,222.32537702518073,-195.0441570478484
147,148,44400,312.7941126147376,309.24066067621226,221.1187258477736,-237.52457759068977
148,149,44700,312.7941126147376,301.7858678335672,220.66320920096874,-202.47375795219818
149,150,45000,312.7941126147376,307.44706668773193,208.9374120029215,-191.18830140304306
150,151,45300,312.7941126147376,308.25422934313275,216.88027060722754,-169.95685090307342
151,152,45600,312.7941126147376,303.79977486988753,225.84770031374268,-146.78280100571055
152,153,45900,312.7941126147376,302.635950332657,233.87093935115197,-236.58871807412743
153,154,46200,312.7941126147376,305.5731686196824,220.36120198273346,-153.88316437920426
154,155,46500,312.7941126147376,306.1019517355852,215.89962960605592,-229.92784014353344
155,156,46800,312.7941126147376,303.04748290965483,224.18945252536435,-228.61633983623514
156,157,47100,312.7941126147376,308.7704743010663,223.9199029611406,-209.98056620817886
157,158,47400,312.7941126147376,306.5539763159679,219.3139036204839,-198.9644503024857
158,159,47700,312.7941126147376,302.0730199438934,219.3441019743415,-247.00316273110298
159,160,48000,312.7941126147376,301.36404236171296,204.04649769587965,-295.92943473091384
160,161,48300,312.7941126147376,305.01099576513735,222.9091378361781,-252.06059455167798
161,162,48600,312.7941126147376,305.52557956681113,225.1081107773126,-198.06163955623157
162,163,48900,312.7941126147376,302.0676687038838,213.79454672978682,-217.53539393642745
163,164,49200,312.7941126147376,305.7273366343886,210.79439581488157,-105.79300087190848
164,165,49500,312.7941126147376,305.0814595592575,214.53289981304803,-264.1328555257394
165,166,49800,312.7941126147376,309.1101412932363,223.91979712804974,-234.49413763872892
166,167,50100,312.7941126147376,302.45384738518874,216.94183886647403,-337.456332351603
167,168,50400,312.7941126147376,306.7804797959592,219.0632425187648,-244.62970203334737
168,169,50700,312.7941126147376,308.7951044036062,220.7284109643182,-244.0879755890428
169,170,51000,312.7941126147376,305.8259287823554,211.15883674679674,-272.3733256222977
170,171,51300,312.7941126147376,302.7871639326728,220.9182130883965,-93.44956460025607
171,172,51600,312.7941126147376,305.8712830160207,210.57096938510674,-263.89433866517896
172,173,51900,312.7941126147376,308.4782913746816,227.73350774946329,-206.40797037527295
173,174,52200,312.7941126147376,308.54716458361145,233.8198794843591,-315.5893697190554
174,175,52500,312.7941126147376,311.1771003749142,220.67835586799328,-248.13371155755786
175,176,52800,312.7941126147376,298.172684072469,225.61977484375615,-186.3394946376173
176,177,53100,312.7941126147376,303.47785257012833,231.58355951793345,-166.6747937367983
177,178,53400,312.7941126147376,302.9209231330585,224.68252313394345,-194.91288565254024
178,179,53700,312.7941126147376,303.3163231042596,219.44760369453996,-223.39432794811125
179,180,54000,312.7941126147376,303.27471766330655,225.19647339271415,-162.18754871232156
180,181,54300,312.7941126147376,301.72913646747776,231.15282069689138,-206.68974636258076
181,182,54600,312.7941126147376,306.1945946226756,214.52804646493394,-193.71733050239575
182,183,54900,312.7941126147376,304.94407286334774,220.66232143147334,-196.4289476540252
183,184,55200,312.7941126147376,305.63985498632917,225.82144957271902,-209.37752065138568
184,185,55500,312.7941126147376,303.61147702448227,220.95024346709837,-192.24682746219258
185,186,55800,312.7941126147376,305.3302781660381,225.98105650699478,-264.3812706229278
186,187,56100,312.7941126147376,302.9844998621933,218.9345033225005,-306.5756947277128
187,188,56400,312.7941126147376,305.5096903137881,221.7739060775952,-218.84067026668527
188,189,56700,312.7941126147376,302.6577252220722,222.20131023665496,-251.6766940655529
189,190,57000,312.7941126147376,305.72407600420445,233.92743158640985,-154.435584269666
190,191,57300,312.7941126147376,308.2234293673314,219.9155231358451,-265.19882738481897
191,192,57600,312.7941126147376,305.07973703902053,223.57768681518633,-220.35735161512986
192,193,57900,312.7941126147376,304.70974396541624,206.3283867583445,-226.06400633668898
193,194,58200,312.7941126147376,305.72023445562706,219.6644658649464,-224.41263515773187
194,195,58500,312.7941126147376,305.70192847047633,217.14203312166018,-295.14245966932845
195,196,58800,312.7941126147376,306.9552521422085,207.3126450086158,-221.4057089598773
196,197,59100,312.7941126147376,306.8576461965032,203.7971777826161,-164.07154868451198
197,198,59400,312.7941126147376,306.41970680133215,222.77928140978048,-473.20739522609944
198,199,59700,312.7941126147376,303.87374735841604,214.25345962536773,-268.40459420349
199,200,60000,312.7941126147376,304.9012264031585,208.48888248043278,-255.21626963007287
